日期,原神
2020-11-15,80519
2020-11-16,65043
2020-11-17,59630
2020-11-18,59171
2020-11-19,77746
2020-11-20,67295
2020-11-21,81612
2020-11-22,69176
2020-11-23,56135
2020-11-24,52145
2020-11-25,55834
2020-11-26,50758
2020-11-27,56113
2020-11-28,71949
2020-11-29,65163
2020-11-30,69866
2020-12-01,67215
2020-12-02,81587
2020-12-03,79635
2020-12-04,73016
2020-12-05,91740
2020-12-06,77861
2020-12-07,65907
2020-12-08,60308
2020-12-09,71613
2020-12-10,67343
2020-12-11,80010
2020-12-12,83912
2020-12-13,71399
2020-12-14,58618
2020-12-15,51425
2020-12-16,47416
2020-12-17,45771
2020-12-18,52325
2020-12-19,64979
2020-12-20,56598
2020-12-21,50557
2020-12-22,46108
2020-12-23,89361
2020-12-24,60598
2020-12-25,57471
2020-12-26,68323
2020-12-27,62400
2020-12-28,48280
2020-12-29,51150
2020-12-30,47974
2020-12-31,59584
2021-01-01,73492
2021-01-02,64042
2021-01-03,52032
2021-01-04,44018
2021-01-05,43773
2021-01-06,46874
2021-01-07,45268
2021-01-08,47604
2021-01-09,59432
2021-01-10,56586
2021-01-11,60498
2021-01-12,66676
2021-01-13,62300
2021-01-14,56699
2021-01-15,60761
2021-01-16,71650
2021-01-17,62687
2021-01-18,53606
2021-01-19,51174
2021-01-20,51783
2021-01-21,53760
2021-01-22,67643
2021-01-23,75957
2021-01-24,67247
2021-01-25,64047
2021-01-26,61739
2021-01-27,65309
2021-01-28,67850
2021-01-29,76719
2021-01-30,69744
2021-01-31,69933
2021-02-01,77717
2021-02-02,76053
2021-02-03,122110
2021-02-04,99220
2021-02-05,85851
2021-02-06,77868
2021-02-07,80935
2021-02-08,77835
2021-02-09,77650
2021-02-10,76879
2021-02-11,69902
2021-02-12,66563
2021-02-13,64882
2021-02-14,64902
2021-02-15,63706
2021-02-16,63050
2021-02-17,66961
2021-02-18,67496
2021-02-19,64944
2021-02-20,63302
2021-02-21,58389
2021-02-22,59621
2021-02-23,61821
2021-02-24,59240
2021-02-25,61316
2021-02-26,71433
2021-02-27,66394
2021-02-28,56880
2021-03-01,49194
2021-03-02,58237
2021-03-03,51765
2021-03-04,48534
2021-03-05,57337
2021-03-06,81019
2021-03-07,75474
2021-03-08,66871
2021-03-09,60544
2021-03-10,60021
2021-03-11,59200
2021-03-12,66130
2021-03-13,94547
2021-03-14,80661
2021-03-15,63847
2021-03-16,59791
2021-03-17,89900
2021-03-18,75025
2021-03-19,76348
2021-03-20,88968
2021-03-21,73425
